content_id,title,series_name,season_number,episode_number,genre,target_age_group,production_type,release_date,duration_minutes,production_cost_euros
les_chroniques_de_usage_s03e08_32,Les Chroniques de Usage - S03E08,Les Chroniques de Usage,3,8,Science-Fiction,9-12 ans,Achat,2024-11-11,21,36965
les_chroniques_de_nouveau_s03e04_33,Les Chroniques de Nouveau - S03E04,Les Chroniques de Nouveau,3,4,Comédie,3-5 ans,Original BigMedia,2025-08-27,18,151017
les_chroniques_de_petit_s03e09_34,Les Chroniques de Petit - S03E09,Les Chroniques de Petit,3,9,Aventure,9-12 ans,Achat,2024-05-12,35,40432
les_chroniques_de_nouveau_s02e08_35,Les Chroniques de Nouveau - S02E08,Les Chroniques de Nouveau,2,8,Fantaisie,3-5 ans,Achat,2025-07-28,24,27182
les_chroniques_de_demain_s02e02_36,Les Chroniques de Demain - S02E02,Les Chroniques de Demain,2,2,Science-Fiction,9-12 ans,Achat,2024-04-19,29,20396
les_chroniques_de_demain_s02e10_37,Les Chroniques de Demain - S02E10,Les Chroniques de Demain,2,10,Science-Fiction,6-8 ans,Original BigMedia,2024-03-17,21,55981
les_chroniques_de_si_s01e07_38,Les Chroniques de Si - S01E07,Les Chroniques de Si,1,7,Science-Fiction,3-5 ans,Achat,2025-05-08,26,39428
les_chroniques_de_an_s02e08_39,Les Chroniques de An - S02E08,Les Chroniques de An,2,8,Fantaisie,6-8 ans,Achat,2024-08-14,28,11191
les_chroniques_de_armer_s03e07_40,Les Chroniques de Armer - S03E07,Les Chroniques de Armer,3,7,Éducatif,3-5 ans,Original BigMedia,2025-06-17,16,156211
les_chroniques_de_petit_s02e05_41,Les Chroniques de Petit - S02E05,Les Chroniques de Petit,2,5,Science-Fiction,9-12 ans,Achat,2024-05-22,42,49453
les_chroniques_de_genou_s03e04_42,Les Chroniques de Genou - S03E04,Les Chroniques de Genou,3,4,Éducatif,3-5 ans,Original BigMedia,2024-07-12,19,170474
les_chroniques_de_petit_s02e04_43,Les Chroniques de Petit - S02E04,Les Chroniques de Petit,2,4,Science-Fiction,9-12 ans,Original BigMedia,2025-04-19,24,146308
les_chroniques_de_si_s01e06_44,Les Chroniques de Si - S01E06,Les Chroniques de Si,1,6,Éducatif,6-8 ans,Original BigMedia,2024-03-24,32,85088
les_chroniques_de_usage_s03e09_45,Les Chroniques de Usage - S03E09,Les Chroniques de Usage,3,9,Éducatif,6-8 ans,Achat,2024-02-02,35,27592
les_chroniques_de_oreille_s03e03_46,Les Chroniques de Oreille - S03E03,Les Chroniques de Oreille,3,3,Aventure,3-5 ans,Original BigMedia,2025-11-02,27,121726
les_chroniques_de_supposer_s01e05_47,Les Chroniques de Supposer - S01E05,Les Chroniques de Supposer,1,5,Aventure,6-8 ans,Achat,2025-06-25,34,19051
les_chroniques_de_supposer_s03e02_48,Les Chroniques de Supposer - S03E02,Les Chroniques de Supposer,3,2,Éducatif,9-12 ans,Achat,2025-02-19,37,26978
les_chroniques_de_petit_s01e01_49,Les Chroniques de Petit - S01E01,Les Chroniques de Petit,1,1,Aventure,3-5 ans,Original BigMedia,2024-03-18,15,108137
